"gene_id","gene_symbol","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000119938.9","PPP1R3C","5507",589.253039986234,-1.84706511485477,0.108438088390481,-17.1957266199071,2.85851749573106e-66,5.79976385075034e-64
"ENSG00000125868.16","DSTN","11034",28064.2533603338,-0.579044099942561,0.0340724876368962,-17.079015968274,2.12675326705012e-65,4.26488219111004e-63
"ENSG00000125266.8","EFNB2","1948",1920.62331089183,-0.99264968876681,0.0588371179967065,-17.0094342477913,6.99095960956937e-65,1.38581711984636e-62
"ENSG00000162989.5","KCNJ3","3760",666.263989199436,-1.92379495253468,0.114394693526129,-16.9785083148582,1.18458746297645e-64,2.32152220301044e-62
"ENSG00000148344.11","PTGES","9536",599.367162874463,1.82991188482336,0.108866682426752,16.9716046548732,1.33240891604544e-64,2.58187911978872e-62
"ENSG00000087086.15","FTL","2512",11405.6609330658,0.80745578591579,0.0480419955446294,16.9328639594723,2.57538623385991e-64,4.93501233212756e-62
"ENSG00000196535.20","MYO18A","399687",3582.21502452117,0.896615565195186,0.0538441708205336,16.781957652273,3.3075049000339e-63,6.26826697867962e-61
"ENSG00000120694.20","HSPH1","10808",11376.4912066843,0.562019146930938,0.0337110677587269,16.7703682407749,4.02009669632492e-63,7.53593343748038e-61
"ENSG00000174032.17","SLC25A30","253512",2657.5729388599,-1.00486956603051,0.0604632396797451,-16.7630575484111,4.54630680438019e-63,8.43071044605815e-61
"ENSG00000146376.11","ARHGAP18","93663",994.78903954419,-1.46164659728359,0.0880586273120916,-16.7563166597536,5.09209731092569e-63,9.34237342810898e-61
"ENSG00000091831.25","ESR1","2099",26617.8857989631,-0.567258740184276,0.0342525189044143,-16.6591419321422,2.59723902600411e-62,4.71494570973336e-60
"ENSG00000115648.14","MLPH","79083",15933.8061871388,0.598826999715171,0.0364402789441134,16.5370868818957,1.98386845450683e-61,3.56393701733591e-59
"ENSG00000143515.20","ATP8B2","57198",3277.82683465634,-0.9441028164137,0.0576429920920875,-16.5221928843101,2.53992788771481e-61,4.51583467541543e-59
"ENSG00000141376.24","BCAS3","54828",32436.2516931293,-0.70977851683096,0.0432977815735577,-16.5181734317602,2.71496574580111e-61,4.77778563796795e-59
"ENSG00000129625.13","REEP5","7905",17263.2296513313,-0.558045760948616,0.0340839125762517,-16.4734836581451,5.68973561257491e-61,9.91163438125929e-59
"ENSG00000198691.14","ABCA4","24",607.977764018273,1.72074496104445,0.10567753137451,16.4453222072757,9.06012583777387e-61,1.56250930198248e-58
"ENSG00000163083.6","INHBB","3625",9022.74243566542,-0.668580115881684,0.041060376768123,-16.4008982118796,1.88431312203124e-60,3.21751129728226e-58
"ENSG00000151929.10","BAG3","9531",6379.72931461841,-0.781169636563425,0.0481277668636629,-16.3632246670556,3.50088763196984e-60,5.91924589225019e-58
"ENSG00000286342.3",NA,NA,549.929689332567,-1.77976282825606,0.110414392872932,-16.2930400061929,1.10592558923167e-59,1.85172744775625e-57
"ENSG00000167106.12","EEIG1","399665",7812.5868634869,-0.771641751364132,0.0478252327218957,-16.2640195137042,1.77688727418334e-59,2.94655749332364e-57
"ENSG00000165959.12","CLMN","79789",3483.82478093285,-0.824574224696642,0.0511977319929179,-16.2405059257808,2.60764666910776e-59,4.28299756718405e-57
"ENSG00000168209.6","DDIT4","54541",5426.34571532965,0.840412834049588,0.0526947740984765,16.0862602133259,3.18504648674933e-58,5.18201053872442e-56
"ENSG00000152518.8","ZFP36L2","678",6123.88731003039,0.749917136777656,0.0471957976582603,16.019624760967,9.32110651847251e-58,1.50235329922969e-55
"ENSG00000139629.16","GALNT6","11226",4190.33346204949,0.780909470885598,0.0491603026880573,16.0171196543744,9.70425326483091e-58,1.54962547967846e-55
"ENSG00000248663.7",NA,NA,623.829984575607,-1.6785764017098,0.106850030919845,-15.8853282566074,8.00776559278713e-57,1.26699014140557e-54
"ENSG00000131759.18","RARA","5914",3178.26454600096,-0.831151164124531,0.0528073614470937,-15.8793474884567,8.80900055851314e-57,1.38109112392834e-54
"ENSG00000134202.12","GSTM3","2947",18821.8455895005,-0.703069988433852,0.044642616586242,-15.8755884003074,9.35296780423883e-57,1.4531647094766e-54
"ENSG00000144802.11","NFKBIZ","64332",1154.10280680896,1.43438944336032,0.091364531652415,15.8662681536728,1.08503501451042e-56,1.67076016609346e-54
"ENSG00000205426.11","KRT81","3887",548.477639767743,1.71071362620354,0.109030015282222,15.8624037540537,1.15391450982923e-56,1.76109819792167e-54
"ENSG00000071282.12","LMCD1","29995",1676.14078515195,-1.01437934052694,0.0647058720560043,-15.8299485177378,1.93379350626272e-56,2.92545638675499e-54
